입영월,군사특기명,입영부대,접수인원,지원인원,남은인원,커트라인
2023년5월,일반의무,육군훈련소,212,1253,1041,73
2023년5월,배관/기계설비(중졸),육군훈련소,1,0,-1,0
2023년5월,전기설비(중졸),육군훈련소,1,0,-1,0
2023년5월,용접/기계공작(중졸),육군훈련소,1,0,-1,0
2023년5월,조리(중졸),육군훈련소,10,2,-8,50
2023년5월,수송운용(중졸),육군훈련소,73,0,-73,0
2023년5월,견인차량운전(중졸),육군훈련소,2,0,-2,0
2023년5월,지게차운전(중졸),육군훈련소,2,0,-2,0
2023년5월,차량부대정비(중졸),육군훈련소,10,0,-10,0
2023년5월,구난차량운전(중졸),육군훈련소,5,0,-5,0
2023년5월,선박운용(중졸),육군훈련소,1,1,0,46
2023년5월,전문간호,육군훈련소,7,14,7,73
2023년5월,신호정보/전자전운용,육군훈련소,15,53,38,67
